person,dept,eow,cause
Constable Darius Quimby,"Albany County Constable's Office, NY","EOW: Monday, January 3, 1791",Cause: Gunfire
Sheriff Cornelius Hogeboom,"Columbia County Sheriff's Office, NY","EOW: Saturday, October 22, 1791",Cause: Gunfire
Deputy Sheriff Isaac Smith,"Westchester County Sheriff's Department, NY","EOW: Thursday, May 17, 1792",Cause: Gunfire
Marshal Robert Forsyth,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, January 11, 1794",Cause: Gunfire
Sheriff Robert Maxwell,"Greenville County Sheriff's Office, SC","EOW: Sunday, November 12, 1797",Cause: Gunfire
High Sheriff John Caldwell Cook,"Mecklenburg County Sheriff's Office, NC","EOW: Tuesday, October 16, 1804",Cause: Gunfire
Watchman Christian Luswanger,"New York City Watch, NY","EOW: Thursday, December 25, 1806",Cause: Stabbed
Deputy Sheriff John A. Gooch,"Livingston County Sheriff's Department, KY","EOW: Saturday, March 7, 1807",Cause: Gunfire
Deputy Sheriff Ebenezer Parker,"Cumberland County Sheriff's Office, ME","EOW: Monday, January 18, 1808",Cause: Assault
Night Watchman George Workner,"Baltimore City Police Department, MD","EOW: Tuesday, March 15, 1808",Cause: Stabbed
Boatman Asa Marsh,"United States Department of the Treasury - Customs Service, US","EOW: Wednesday, August 3, 1808",Cause: Gunfire
Boatman Ellis Drake,"United States Department of the Treasury - Customs Service, US","EOW: Wednesday, August 3, 1808",Cause: Gunfire
Custom House Officer Daniel Miller,"United States Department of the Treasury - Customs Service, US","EOW: Monday, January 1, 1810",Cause: Gunfire
Deputy Sheriff John Tileston Downes,"Washington County Sheriff's Office, ME","EOW: Monday, January 28, 1811",Cause: Gunfire
Customs Inspector John Stout,"United States Department of the Treasury - Customs Service, US","EOW: Friday, January 21, 1814",Cause: Gunfire
Keeper Thomas Hewlett,"Vermont Department of Corrections, VT","EOW: Friday, December 2, 1814",Cause: Stabbed
Sheriff John Coor Pender,"Wayne County Sheriff's Office, NC","EOW: Monday, January 1, 1816",Cause: Gunfire
Sheriff Caleb Hewitt,"Davidson County Sheriff's Office, TN","EOW: Monday, September 9, 1816",Cause: Assault
Deputy Sheriff William Huddleston,"Schoharie County Sheriff's Department, NY","EOW: Friday, October 9, 1818",Cause: Assault
"Constable Jacob Dearduff, Sr.","Jamestown Police Department, OH","EOW: Saturday, February 22, 1823",Cause: Stabbed
Constable Elijah Chenault,"Alexandria Police Department, VA","EOW: Monday, August 4, 1823",Cause: Assault
Constable Robert Murphy,"Franklin County Sheriff's Department, IN","EOW: Thursday, November 11, 1824",Cause: Stabbed
Constable William Davidson,"Pennsylvania State Constable - Venango County, PA","EOW: Thursday, April 14, 1825",Cause: Gunfire
Watch Officer Jonathan Houghton,"Boston Watch, MA","EOW: Monday, December 19, 1825",Cause: Assault
Watchman Gerrard Arnold,"Alexandria Police Department, VA","EOW: Sunday, September 9, 1827",Cause: Assault
Watchman Steven Heimer,"Philadelphia Police Department, PA","EOW: Tuesday, January 8, 1828",Cause: Gunfire
Sheriff Thomas Griffin Thornton,"Caroline County Sheriff's Office, VA","EOW: Saturday, June 12, 1830",Cause: Gunfire
Town Sergeant John Smith,"Foster Police Department, RI","EOW: Thursday, June 21, 1832",Cause: Assault
Guard Ezra Hoskins,"Connecticut Department of Correction, CT","EOW: Wednesday, May 1, 1833",Cause: Assault
Sheriff William Gresham,"Harrison County Sheriff's Department, IN","EOW: Thursday, January 23, 1834",Cause: Stabbed
Constable Moore C. Wisdom,"Purdy Constable's Office, TN","EOW: Saturday, August 30, 1834",Cause: Stabbed
Watchman Lewis L. Leuba,"New York City Watch, NY","EOW: Wednesday, April 13, 1836",Cause: Stabbed
Constable William Mull,"St. Louis Metropolitan Police Department, MO","EOW: Thursday, April 28, 1836",Cause: Stabbed
Deputy Sheriff George Hammond,"St. Louis Metropolitan Police Department, MO","EOW: Thursday, April 28, 1836",Cause: Stabbed
Watchman Kim Hudson,"New York City Watch, NY","EOW: Sunday, August 28, 1836",Cause: Stabbed
Private David Clark,"Texas Rangers, TX","EOW: Saturday, January 7, 1837",Cause: Gunfire
Second Lieutenant Alfred H. Miles,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause: Assault
Private Jesse Blair,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause: Assault
Private Alexander Bostwick,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause: Gunfire
Private James Christian,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause: Assault
Private Joseph Cooper,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause: Gunfire
Private James Joslen,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause: Assault
Private Westley Nicholson,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause: Assault
Private William Nicholson,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause: Gunfire
Private William Sanders,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause: Gunfire
Private Lewis F. Scheuster,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause: Assault
Deputy Sheriff Nester Young,"Ashtabula County Sheriff's Department, OH","EOW: Monday, January 15, 1838",Cause: Gunfire
Private Julius Bullock,"Texas Rangers, TX","EOW: Friday, October 12, 1838",Cause: Assault
Private John W. Carpenter,"Texas Rangers, TX","EOW: Friday, October 12, 1838",Cause: Assault
Private Thomas M. Scott,"Texas Rangers, TX","EOW: Friday, October 12, 1838",Cause: Assault
Private John Wilson,"Texas Rangers, TX","EOW: Friday, October 12, 1838",Cause: Assault
Private James Hall,"Texas Rangers, TX","EOW: Monday, December 17, 1838",Cause: Assault
Deputy U.S. Marshal John Gatewood,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, February 2, 1839",Cause: Gunfire
Captain Jacob Shipman Burleson,"Texas Rangers, TX","EOW: Monday, February 25, 1839",Cause: Gunfire
Private Edward Blakey,"Texas Rangers, TX","EOW: Monday, February 25, 1839",Cause: Gunfire
Private John B. Walters,"Texas Rangers, TX","EOW: Monday, February 25, 1839",Cause: Gunfire
Private James Gilleland,"Texas Rangers, TX","EOW: Thursday, March 7, 1839",Cause: Gunfire
Captain John Bird,"Texas Rangers, TX","EOW: Sunday, May 26, 1839",Cause: Assault
First Sergeant William H. Weaver,"Texas Rangers, TX","EOW: Sunday, May 26, 1839",Cause: Gunfire
Private Jesse E. Nash,"Texas Rangers, TX","EOW: Sunday, May 26, 1839",Cause: Assault
Private Thomas Gay,"Texas Rangers, TX","EOW: Sunday, May 26, 1839",Cause: Gunfire
Private H. M. C. Hall,"Texas Rangers, TX","EOW: Monday, May 27, 1839",Cause: Gunfire
Watchman James P. Van Duzen,"New York City Watch, NY","EOW: Tuesday, June 25, 1839",Cause: Fall
Sheriff John Kimmey,"Sumter County  Sheriff's Office, GA","EOW: Wednesday, December 11, 1839",Cause: Gunfire
Sheriff Joseph L. Hood,"Bexar County Sheriff's Office, TX","EOW: Thursday, March 19, 1840",Cause: Stabbed
Town Marshal John Yeomans,"Jacksonville Police Department, FL","EOW: Sunday, May 24, 1840",Cause: Gunfire
Sheriff John B. Campbell,"Harrison County Sheriff's Office, TX","EOW: Saturday, January 23, 1841",Cause: Gunfire
Guard Cyrus Sells,"Ohio Department of Rehabilitation and Correction, OH","EOW: Wednesday, June 9, 1841",Cause: Assault
Prison Guard William Bullard,"Missouri Department of Corrections, MO","EOW: Monday, June 14, 1841",Cause: Assault
Private Abram Trigg Smith,"Texas Rangers, TX","EOW: Thursday, August 5, 1841",Cause: Gunfire
Sheriff Thomas Wooldridge,"Dubois County Sheriff's Department, IN","EOW: Thursday, May 19, 1842",Cause: Gunfire
"Warden Charles Lincoln, Jr.","Massachusetts Department of Correction, MA","EOW: Sunday, June 18, 1843",Cause: Stabbed
Sheriff Samuel B. Wingo,"Shannon County Sheriff's Department, MO","EOW: Thursday, August 31, 1843",Cause: Gunfire
Sheriff George Lee Phillips,"Ashe County Sheriff's Office, NC","EOW: Saturday, September 23, 1843",Cause: Drowned
Sheriff Robert D. Lester,"Crawford County Sheriff's Department, WI","EOW: Thursday, March 21, 1844",Cause: Gunfire
Sheriff Lewis Williams,"Jackson County Sheriff's Office, FL","EOW: Friday, April 26, 1844",Cause: Gunfire
Private Peter Fohr,"Texas Rangers, TX","EOW: Wednesday, June 12, 1844",Cause: Assault
Keeper James Gastin,"Pennsylvania Department of Corrections, PA","EOW: Thursday, October 31, 1844",Cause: Assault
Undersheriff Osman N. Steele,"Delaware County Sheriff's Office, NY","EOW: Thursday, August 7, 1845",Cause: Gunfire
Constable John Holton,"Augusta Police Department, KY","EOW: Monday, November 24, 1845",Cause: Stabbed
Sheriff Lansford Stallings,"Cherokee County Sheriff's Office, AL","EOW: Thursday, December 4, 1845",Cause: Gunfire
Lieutenant John M. Brown,"Cherokee Nation Marshal Service, TR","EOW: Sunday, December 28, 1845",Cause: Stabbed
Sheriff Samuel Grimmett,"Montgomery County Sheriff's Office, TX","EOW: Sunday, April 11, 1847",Cause: Gunfire
Deputy Sheriff William Armstrong,"Hampshire County Sheriff's Office, VA","EOW: Friday, June 25, 1847",Cause: Gunfire
Deputy Sheriff Gilbert Byrd Burchfield,"Saline County Sheriff's Office, AR","EOW: Thursday, July 15, 1847",Cause: Gunfire
Sheriff Enoch B. Morelock,"Sullivan County Sheriff's Office, MO","EOW: Sunday, December 19, 1847",Cause: Gunfire
Watchman David Estes,"Boston Watch, MA","EOW: Thursday, April 27, 1848",Cause: Gunfire
Watchman John Brasher,"Cincinnati Police Department, OH","EOW: Sunday, May 6, 1849",Cause: Gunfire
Constable Peter Davison,"Cincinnati Police Department, OH","EOW: Monday, June 25, 1849",Cause: Stabbed
Patrolman Thomas Lynch,"New York Municipal Police Force, NY","EOW: Thursday, September 27, 1849",Cause: Assault
Patrolman William Helms,"New York Municipal Police Force, NY","EOW: Tuesday, October 16, 1849",Cause: Structure collapse
Major Charles Grandison Bryant,"Texas Rangers, TX","EOW: Saturday, January 12, 1850",Cause: Assault
Watchman Cornelius Mooney,"Philadelphia Police Department, PA","EOW: Saturday, May 25, 1850",Cause: Gunfire
Police Officer Ephraim Hibler,"St. Louis Metropolitan Police Department, MO","EOW: Sunday, May 26, 1850",Cause: Gunfire
Private William Gillespie,"Texas Rangers, TX","EOW: Wednesday, May 29, 1850",Cause: Assault
Sheriff Joseph McKinney,"Sacramento County Sheriff's Department, CA","EOW: Thursday, August 15, 1850",Cause: Gunfire
Private John Lemon Wilbarger,"Texas Rangers, TX","EOW: Tuesday, August 20, 1850",Cause: Gunfire
"Private Daniel C. ""Doc"" Sullivan","Texas Rangers, TX","EOW: Tuesday, August 20, 1850",Cause: Gunfire
Private Samuel Baker Barton,"Texas Rangers, TX","EOW: Monday, January 27, 1851",Cause: Assault
Private William Lackey,"Texas Rangers, TX","EOW: Monday, February 3, 1851",Cause: Assault
Patrolman George T. Gillespie,"New York Municipal Police Force, NY","EOW: Thursday, July 10, 1851",Cause: Assault
Sergeant Michael Foster,"New York Municipal Police Force, NY","EOW: Monday, August 4, 1851",Cause: Stabbed
Posseman Edward Gorsuch,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, September 11, 1851",Cause: Gunfire
Deputy Sheriff David Neil,"Smith County Sheriff's Office, TX","EOW: Saturday, September 27, 1851",Cause: Gunfire
Deputy Sheriff James Holden,"Smith County Sheriff's Office, TX","EOW: Saturday, September 27, 1851",Cause: Gunfire
Police Officer William Baker,"Philadelphia Police Department, PA","EOW: Saturday, December 27, 1851",Cause: Fire
Captain Chin Chi Kee,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Saturday, January 10, 1852",Cause: Gunfire
Sheriff James Preston Fulkerson,"Calhoun County Sheriff's Office, TX","EOW: Sunday, April 4, 1852",Cause: Gunfire
Deputy Sheriff Moses Formwalt,"DeKalb County Sheriff's Office, GA","EOW: Saturday, May 1, 1852",Cause: Stabbed
Watchman William T. Pullan,"Providence City Watch, RI","EOW: Tuesday, May 18, 1852",Cause: Assault
Constable Gideon Manchester,"Fall River Police Department, MA","EOW: Friday, July 16, 1852",Cause: Gunfire
Watchman Joseph Stoddard,"Cincinnati Police Department, OH","EOW: Friday, September 10, 1852",Cause: Stabbed
Night Watchman Samuel H. Ferguson,"Pittsburgh Night Watch, PA","EOW: Thursday, April 21, 1853",Cause: Stabbed
Deputy Sheriff Rodney Badger,"Salt Lake County Sheriff's Office, UT","EOW: Friday, April 29, 1853",Cause: Drowned
Shadow George Trenchard,"New York Municipal Police Force, NY","EOW: Thursday, June 2, 1853",Cause: Fire
Watchman John Osborne,"Cleveland Division of Police, OH","EOW: Thursday, December 1, 1853",Cause: Stabbed
Constable James Quinn,"Chicago Police Department, IL","EOW: Monday, December 5, 1853",Cause: Assault
Constable Jack Wheelan,"Los Angeles County Constable's Office, CA","EOW: Wednesday, December 7, 1853",Cause: Stabbed
Deputy Sheriff Wesley F. Cherry,"King County Sheriff's Office, WA","EOW: Monday, March 6, 1854",Cause: Gunfire
Police Officer George R. Turner,"Stockton Police Department, CA","EOW: Friday, April 14, 1854",Cause: Gunfire
Officer Cyrus Beebe,"Columbus Division of Police, OH","EOW: Thursday, April 27, 1854",Cause: Gunfire
Deputy U.S. Marshal James Batchelder,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, May 26, 1854",Cause: Gunfire
Constable William H. Hardmount,"Monterey County Constable's Office, CA","EOW: Saturday, September 2, 1854",Cause: Gunfire
Patrolman Casper Lauer,"Chicago Police Department, IL","EOW: Monday, September 18, 1854",Cause: Stabbed
Patrolman James Cahill,"New York Municipal Police Force, NY","EOW: Friday, September 29, 1854",Cause: Gunfire
Police Officer Maxwell Badgley,"Newark Police Department, NJ","EOW: Monday, October 23, 1854",Cause: Stabbed
Patrolman David Gourley,"New York Municipal Police Force, NY","EOW: Sunday, November 5, 1854",Cause: Stabbed
Deputy Sheriff William Harrison Reams,"Laurel County Sheriff's Department, KY","EOW: Tuesday, November 21, 1854",Cause: Stabbed
Policeman John Sheldon,"Sonora Police Department, CA","EOW: Sunday, April 29, 1855",Cause: Stabbed
Sheriff William A. Phoenix,"Amador County Sheriff's Department, CA","EOW: Sunday, August 12, 1855",Cause: Gunfire
Indian Agent Andrew J. Bolon,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Tuesday, September 25, 1855",Cause: Stabbed
Private William H. Clopton,"Texas Rangers, TX","EOW: Wednesday, October 3, 1855",Cause: Gunfire
Private Willis E. Jones,"Texas Rangers, TX","EOW: Wednesday, October 3, 1855",Cause: Gunfire
Private H. K. Holland,"Texas Rangers, TX","EOW: Wednesday, October 3, 1855",Cause: Gunfire
Private Augustus Smith,"Texas Rangers, TX","EOW: Wednesday, October 3, 1855",Cause: Gunfire
Deputy Sheriff Charles Layton,"Monterey County Sheriff's Department, CA","EOW: Saturday, November 10, 1855",Cause: Gunfire
Deputy Sheriff Joaquin De La Torre,"Monterey County Sheriff's Department, CA","EOW: Saturday, November 10, 1855",Cause: Gunfire
Deputy Sheriff Jim Beckwith,"Monterey County Sheriff's Department, CA","EOW: Saturday, November 10, 1855",Cause: Gunfire
Marshal William H. Richardson,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, November 17, 1855",Cause: Gunfire
Night Watchman Thomas Cummins,"New Haven Police Department, CT","EOW: Saturday, November 24, 1855",Cause: Assault
Marshal Eli R. Doyle,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, December 27, 1855",Cause: Fall
Police Officer Alexander Algeo,"New Orleans Police Department, LA","EOW: Wednesday, March 26, 1856",Cause: Gunfire
Lieutenant Levi Parker,"Cincinnati Police Department, OH","EOW: Sunday, May 4, 1856",Cause: Gunfire
City Marshal David Johnson,"Nevada City Police Department, CA","EOW: Monday, November 3, 1856",Cause: Gunfire
Sheriff W. W. Wright,"Nevada County Sheriff's Office, CA","EOW: Monday, November 3, 1856",Cause: Gunfire
Sheriff John F. Taylor,"Winnebago County Sheriff's Office, IL","EOW: Tuesday, November 11, 1856",Cause: Gunfire
Night Watchman John O`Mayer,"Baltimore City Police Department, MD","EOW: Thursday, November 13, 1856",Cause: Gunfire (Accidental)
Police Officer William I. Van Arsdale,"New Brunswick Police Department, NJ","EOW: Sunday, December 7, 1856",Cause: Drowned
Deputy Warden Galen Carter Walker,"Massachusetts Department of Correction, MA","EOW: Monday, December 15, 1856",Cause: Stabbed
Warden Solon Tenney,"Massachusetts Department of Correction, MA","EOW: Monday, December 29, 1856",Cause: Stabbed
Sheriff James R. Barton,"Los Angeles County Sheriff's Department, CA","EOW: Friday, January 23, 1857",Cause: Gunfire
Constable Charles K. Baker,"Los Angeles County Constable's Office, CA","EOW: Friday, January 23, 1857",Cause: Gunfire
Deputy Sheriff Charles T. Daly,"Los Angeles County Sheriff's Department, CA","EOW: Friday, January 23, 1857",Cause: Gunfire
Constable William H. Little,"Los Angeles County Constable's Office, CA","EOW: Friday, January 23, 1857",Cause: Gunfire
Sheriff James M. Land,"Estill County Sheriff's Department, KY","EOW: Sunday, March 22, 1857",Cause: Gunfire
Deputy Sheriff Jessie Arvin,"Estill County Sheriff's Department, KY","EOW: Sunday, March 22, 1857",Cause: Gunfire
Patrolman Stephen P. Hardenbrook,"New York Municipal Police Force, NY","EOW: Wednesday, April 15, 1857",Cause: Stabbed
Deputized Civilian William B.M. Barbee,"Burleson County Constable's Office - Precinct 3, TX","EOW: Sunday, May 24, 1857",Cause: Gunfire
Assistant City Marshal Frederick W. Fieldstrup,"San Antonio Police Department, TX","EOW: Friday, May 29, 1857",Cause: Gunfire
Special Patrolman Thomas Sparks,"New York Metropolitan Police Force, NY","EOW: Thursday, July 9, 1857",Cause: Assault
Patrolman Eugene Anderson,"New York Metropolitan Police Force, NY","EOW: Monday, July 20, 1857",Cause: Gunfire
Sergeant William Jourdan,"Baltimore City Police Department, MD","EOW: Wednesday, October 14, 1857",Cause: Gunfire
Patrolman Ezekiel Wentworth Hodsdon,"Boston Police Department, MA","EOW: Sunday, October 18, 1857",Cause: Gunfire
Patrolman Horatio Sanger,"New York Metropolitan Police Force, NY","EOW: Sunday, November 22, 1857",Cause: Assault
Sheriff William C. Getman,"Los Angeles County Sheriff's Department, CA","EOW: Thursday, January 7, 1858",Cause: Gunfire
